Unique ID	Parent	Tier 1	Tier 2	Tier 3	Tier 4	Path	Description	Keywords	Negative Keywords
177	150	Attractions	Theater Venues			Attractions > Theater Venues	Content relating to Attractions > Theater Venues: theaters, Broadway, plays, musicals, opera houses, performance venues, stage, drama, showtimes, tickets, live theater. Best for physical places people visit for leisure, sightseeing, or tourism. Typical matches include destination guides, venue pages, ticket information, maps, hours, local recommendations, and visitor reviews. Prefer this label when the page is primarily about theater venues rather than adjacent attractions categories. Common confusers: amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	theater venues, theaters, broadway, plays, musicals, opera houses, performance venues, stage, drama, showtimes, tickets, live theater	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, zoos & aquariums
178	150	Attractions	Zoos & Aquariums			Attractions > Zoos & Aquariums	Content relating to Attractions > Zoos & Aquariums: zoos, aquariums, wildlife parks, animal exhibits, conservation, marine life, safari, endangered species, animal care. Best for physical places people visit for leisure, sightseeing, or tourism. Typical matches include destination guides, venue pages, ticket information, maps, hours, local recommendations, and visitor reviews. Prefer this label when the page is primarily about zoos & aquariums rather than adjacent attractions categories. Common confusers: amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	zoos & aquariums, zoos and aquariums, zoos aquariums, zoos, aquariums, wildlife parks, animal exhibits, conservation, marine life, safari, endangered species, animal care	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues
1		Automotive				Automotive	Content relating to Automotive: cars, vehicles, automobiles, auto industry, dealerships, car reviews, driving, vehicle maintenance, automotive news. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Use this top-level category when the page fits automotive broadly but not a more specific subcategory. Common confusers: attractions, books and literature, business and finance, careers, communication, crime.	automotive, cars, vehicles, automobiles, auto industry, dealerships, car reviews, driving, vehicle maintenance, automotive news	attractions, books and literature, business and finance, careers, communication, crime, disasters, education, entertainment, events, family and relationships, fine art
2	1	Automotive	Auto Body Styles			Automotive > Auto Body Styles	Content relating to Automotive > Auto Body Styles: sedan, SUV, truck, hatchback, coupe, convertible, minivan, vehicle types, body styles, car classification. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto body styles rather than adjacent automotive categories. Common confusers: auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair.	auto body styles, sedan, suv, truck, hatchback, coupe, convertible, minivan, vehicle types, body styles, car classification	auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
3	2	Automotive	Auto Body Styles	Commercial Trucks		Automotive > Auto Body Styles > Commercial Trucks	Content relating to Automotive > Auto Body Styles > Commercial Trucks: semi trucks, tractor-trailers, freight, hauling, commercial vehicles, 18-wheelers, cargo, logistics trucks. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about commercial trucks rather than adjacent automotive categories. Common confusers: convertible, coupe, crossover, hatchback, microcar, minivan.	commercial trucks, semi trucks, tractor-trailers, freight, hauling, commercial vehicles, 18-wheelers, cargo, logistics trucks	convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
8	2	Automotive	Auto Body Styles	Convertible		Automotive > Auto Body Styles > Convertible	Content relating to Automotive > Auto Body Styles > Convertible: convertibles, drop-top, roadster, open-top cars, cabriolet, soft top, hard top convertible. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about convertible rather than adjacent automotive categories. Common confusers: commercial trucks, coupe, crossover, hatchback, microcar, minivan.	convertible, convertibles, drop-top, roadster, open-top cars, cabriolet, soft top, hard top convertible	commercial trucks, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
9	2	Automotive	Auto Body Styles	Coupe		Automotive > Auto Body Styles > Coupe	Content relating to Automotive > Auto Body Styles > Coupe: coupes, two-door cars, sport coupe, luxury coupe, coupe body style. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about coupe rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, crossover, hatchback, microcar, minivan.	coupe, coupes, two-door cars, sport coupe, luxury coupe, coupe body style	commercial trucks, convertible, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
10	2	Automotive	Auto Body Styles	Crossover		Automotive > Auto Body Styles > Crossover	Content relating to Automotive > Auto Body Styles > Crossover: crossover SUVs, CUV, compact SUV, crossover vehicles, family crossover. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about crossover rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, hatchback, microcar, minivan.	crossover, crossover suvs, cuv, compact suv, crossover vehicles, family crossover	commercial trucks, convertible, coupe, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
11	2	Automotive	Auto Body Styles	Hatchback		Automotive > Auto Body Styles > Hatchback	Content relating to Automotive > Auto Body Styles > Hatchback: hatchbacks, five-door, liftback, compact cars, hatchback reviews. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about hatchback rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, microcar, minivan.	hatchback, hatchbacks, five-door, liftback, compact cars, hatchback reviews	commercial trucks, convertible, coupe, crossover, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
12	2	Automotive	Auto Body Styles	Microcar		Automotive > Auto Body Styles > Microcar	Content relating to Automotive > Auto Body Styles > Microcar: microcars, city cars, small cars, mini vehicles, urban cars, kei cars. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about microcar rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, minivan.	microcar, microcars, city cars, small cars, mini vehicles, urban cars, kei cars	commercial trucks, convertible, coupe, crossover, hatchback, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
13	2	Automotive	Auto Body Styles	Minivan		Automotive > Auto Body Styles > Minivan	Content relating to Automotive > Auto Body Styles > Minivan: minivans, people movers, family van, sliding doors, passenger van, MPV. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about minivan rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	minivan, minivans, people movers, family van, sliding doors, passenger van, mpv	commercial trucks, convertible, coupe, crossover, hatchback, microcar, off-road vehicles, pickup trucks, sedan, station wagon, suv, van
14	2	Automotive	Auto Body Styles	Off-Road Vehicles		Automotive > Auto Body Styles > Off-Road Vehicles	Content relating to Automotive > Auto Body Styles > Off-Road Vehicles: off-road, 4x4, Jeep, SUV off-road, all-terrain, mudding, rock crawling, overlanding. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about off-road vehicles rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	off-road vehicles, off-road, 4x4, jeep, suv off-road, all-terrain, mudding, rock crawling, overlanding	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, pickup trucks, sedan, station wagon, suv, van
15	2	Automotive	Auto Body Styles	Pickup Trucks		Automotive > Auto Body Styles > Pickup Trucks	Content relating to Automotive > Auto Body Styles > Pickup Trucks: pickup trucks, trucks, pickup, half-ton, heavy duty, towing, truck bed, work truck. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about pickup trucks rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	pickup trucks, trucks, pickup, half-ton, heavy duty, towing, truck bed, work truck	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, sedan, station wagon, suv, van
4	2	Automotive	Auto Body Styles	Sedan		Automotive > Auto Body Styles > Sedan	Content relating to Automotive > Auto Body Styles > Sedan: sedans, four-door, saloon, passenger car, sedan reviews, midsize sedan. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about sedan rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	sedan, sedans, four-door, saloon, passenger car, sedan reviews, midsize sedan	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, station wagon, suv, van
5	2	Automotive	Auto Body Styles	Station Wagon		Automotive > Auto Body Styles > Station Wagon	Content relating to Automotive > Auto Body Styles > Station Wagon: station wagons, wagons, estate cars, wagon, family wagon. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about station wagon rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	station wagon, station wagons, wagons, estate cars, wagon, family wagon	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, suv, van
6	2	Automotive	Auto Body Styles	SUV		Automotive > Auto Body Styles > SUV	Content relating to Automotive > Auto Body Styles > SUV: SUVs, sport utility vehicles, sport utility, family SUV, crossover SUV. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about suv rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	suv, suvs, sport utility vehicles, sport utility, family suv, crossover suv	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, van
7	2	Automotive	Auto Body Styles	Van		Automotive > Auto Body Styles > Van	Content relating to Automotive > Auto Body Styles > Van: vans, cargo van, passenger van, minivan, full-size van, commercial van. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about van rather than adjacent automotive categories. Common confusers: commercial trucks, convertible, coupe, crossover, hatchback, microcar.	van, vans, cargo van, passenger van, minivan, full-size van, commercial van	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv
30	1	Automotive	Auto Buying and Selling			Automotive > Auto Buying and Selling	Content relating to Automotive > Auto Buying and Selling: car buying, car selling, dealership, trade-in, used cars, new cars, car price, negotiation. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto buying and selling rather than adjacent automotive categories. Common confusers: auto body styles, auto insurance, auto parts, auto recalls, auto rentals, auto repair.	auto buying and selling, car buying, car selling, dealership, trade-in, used cars, new cars, car price, negotiation	auto body styles, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
31	1	Automotive	Auto Insurance			Automotive > Auto Insurance	Content relating to Automotive > Auto Insurance: car insurance, auto insurance, vehicle insurance, coverage, premiums, claims, liability. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto insurance rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto parts, auto recalls, auto rentals, auto repair.	auto insurance, car insurance, vehicle insurance, coverage, premiums, claims, liability	auto body styles, auto buying and selling, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
32	1	Automotive	Auto Parts			Automotive > Auto Parts	Content relating to Automotive > Auto Parts: auto parts, car parts, aftermarket, OEM parts, replacement parts, accessories, auto supply. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto parts rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto recalls, auto rentals, auto repair.	auto parts, car parts, aftermarket, oem parts, replacement parts, accessories, auto supply	auto body styles, auto buying and selling, auto insurance, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
33	1	Automotive	Auto Recalls			Automotive > Auto Recalls	Content relating to Automotive > Auto Recalls: car recalls, vehicle recalls, safety recall, NHTSA, defect, recall notice. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto recalls rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto rentals, auto repair.	auto recalls, car recalls, vehicle recalls, safety recall, nhtsa, defect, recall notice	auto body styles, auto buying and selling, auto insurance, auto parts, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
41	1	Automotive	Auto Rentals			Automotive > Auto Rentals	Content relating to Automotive > Auto Rentals: car rental, rent a car, rental cars, hire car, rental agency, short-term rental. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto rentals rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto repair.	auto rentals, car rental, rent a car, rental cars, hire car, rental agency, short-term rental	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
34	1	Automotive	Auto Repair			Automotive > Auto Repair	Content relating to Automotive > Auto Repair: auto repair, car repair, mechanic, garage, service center, diagnostics, fix car. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto repair rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto repair, car repair, mechanic, garage, service center, diagnostics, fix car	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos
35	1	Automotive	Auto Safety			Automotive > Auto Safety	Content relating to Automotive > Auto Safety: car safety, vehicle safety, crash test, safety ratings, airbags, seat belts, child safety. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto safety rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto safety, car safety, vehicle safety, crash test, safety ratings, airbags, seat belts, child safety	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto shows, auto technology, auto type, car culture, dash cam videos
36	1	Automotive	Auto Shows			Automotive > Auto Shows	Content relating to Automotive > Auto Shows: auto shows, car shows, motor show, new car launch, concept cars, auto exhibition. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto shows rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto shows, car shows, motor show, new car launch, concept cars, auto exhibition	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto technology, auto type, car culture, dash cam videos
37	1	Automotive	Auto Technology			Automotive > Auto Technology	Content relating to Automotive > Auto Technology: car technology, automotive tech, in-car tech, connected car, vehicle technology. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto technology rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto technology, car technology, automotive tech, in-car tech, connected car, vehicle technology	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto type, car culture, dash cam videos
38	37	Automotive	Auto Technology	Auto Infotainment Technologies		Automotive > Auto Technology > Auto Infotainment Technologies	Content relating to Automotive > Auto Technology > Auto Infotainment Technologies: infotainment, car stereo, touchscreen, Apple CarPlay, Android Auto, in-car entertainment. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto infotainment technologies rather than adjacent automotive categories. Common confusers: auto navigation systems, auto safety technologies.	auto infotainment technologies, infotainment, car stereo, touchscreen, apple carplay, android auto, in-car entertainment	auto navigation systems, auto safety technologies
39	37	Automotive	Auto Technology	Auto Navigation Systems		Automotive > Auto Technology > Auto Navigation Systems	Content relating to Automotive > Auto Technology > Auto Navigation Systems: GPS navigation, car GPS, in-dash navigation, maps, turn-by-turn, navigation system. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto navigation systems rather than adjacent automotive categories. Common confusers: auto infotainment technologies, auto safety technologies.	auto navigation systems, gps navigation, car gps, in-dash navigation, maps, turn-by-turn, navigation system	auto infotainment technologies, auto safety technologies
40	37	Automotive	Auto Technology	Auto Safety Technologies		Automotive > Auto Technology > Auto Safety Technologies	Content relating to Automotive > Auto Technology > Auto Safety Technologies: lane departure, blind spot, adaptive cruise, collision avoidance, automatic braking, safety tech. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto safety technologies rather than adjacent automotive categories. Common confusers: auto infotainment technologies, auto navigation systems.	auto safety technologies, lane departure, blind spot, adaptive cruise, collision avoidance, automatic braking, safety tech	auto infotainment technologies, auto navigation systems
16	1	Automotive	Auto Type			Automotive > Auto Type	Content relating to Automotive > Auto Type: vehicle types, car categories, auto classification, car segments. Best for vehicles, ownership, driving, parts, maintenance, and the automotive market. Typical matches include model reviews, repair advice, ownership costs, dealer or aftermarket pages, and enthusiast discussions. Prefer this label when the page is primarily about auto type rather than adjacent automotive categories. Common confusers: auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto type, vehicle types, car categories, auto classification, car segments	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, car culture, dash cam videos
