Unique ID	Parent	Tier 1	Tier 2	Tier 3	Tier 4	Path	Description	Keywords	Negative Keywords
177	150	Attractions	Theater Venues			Attractions > Theater Venues	Content relating to Attractions > Theater Venues: theaters, Broadway, plays, musicals, opera houses, performance venues, stage, drama, showtimes, tickets, live theater. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	theater venues, attractions, theaters, broadway, plays, musicals, opera houses, performance venues, stage, drama, showtimes, tickets, live theater	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, zoos & aquariums, online shopping, software downloads, stock investing, medical treatment
178	150	Attractions	Zoos & Aquariums			Attractions > Zoos & Aquariums	Content relating to Attractions > Zoos & Aquariums: zoos, aquariums, wildlife parks, animal exhibits, conservation, marine life, safari, endangered species, animal care. Use for content about physical visitor destinations and leisure venues, including tickets, opening hours, itineraries, local recommendations, venue reviews, and trip-planning intent. Relevant pages may include venue pages, destination guides, admission details, maps, local tips, accessibility information, family planning help, and visitor reviews. Avoid classifying content here when it is primarily about amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries.	zoos and aquariums, zoos, aquariums, attractions, wildlife parks, animal exhibits, conservation, marine life, safari, endangered species, animal care	amusement and theme parks, bars & restaurants, casinos & gambling, historic site and landmark tours, malls & shopping centers, museums & galleries, nightclubs, outdoor activities, parks & nature, theater venues, online shopping, software downloads, stock investing, medical treatment
1		Automotive				Automotive	Content relating to Automotive: cars, vehicles, automobiles, auto industry, dealerships, car reviews, driving, vehicle maintenance, automotive news. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about toy collecting, aviation industry finance, travel destination guides, video games, attractions, books and literature.	automotive, cars, vehicles, automobiles, auto industry, dealerships, car reviews, driving, vehicle maintenance, automotive news	toy collecting, aviation industry finance, travel destination guides, video games, attractions, books and literature, business and finance, careers, communication, crime, disasters, education
2	1	Automotive	Auto Body Styles			Automotive > Auto Body Styles	Content relating to Automotive > Auto Body Styles: sedan, SUV, truck, hatchback, coupe, convertible, minivan, vehicle types, body styles, car classification. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair.	auto body styles, automotive, sedan, suv, truck, hatchback, coupe, convertible, minivan, vehicle types, body styles, car classification	auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
3	2	Automotive	Auto Body Styles	Commercial Trucks		Automotive > Auto Body Styles > Commercial Trucks	Content relating to Automotive > Auto Body Styles > Commercial Trucks: semi trucks, tractor-trailers, freight, hauling, commercial vehicles, 18-wheelers, cargo, logistics trucks. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about convertible, coupe, crossover, hatchback, microcar, minivan.	commercial trucks, automotive, auto body styles, semi trucks, tractor-trailers, freight, hauling, commercial vehicles, 18-wheelers, cargo, logistics trucks	convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
8	2	Automotive	Auto Body Styles	Convertible		Automotive > Auto Body Styles > Convertible	Content relating to Automotive > Auto Body Styles > Convertible: convertibles, drop-top, roadster, open-top cars, cabriolet, soft top, hard top convertible. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, coupe, crossover, hatchback, microcar, minivan.	convertible, automotive, auto body styles, convertibles, drop-top, roadster, open-top cars, cabriolet, soft top, hard top convertible	commercial trucks, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
9	2	Automotive	Auto Body Styles	Coupe		Automotive > Auto Body Styles > Coupe	Content relating to Automotive > Auto Body Styles > Coupe: coupes, two-door cars, sport coupe, luxury coupe, coupe body style. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, crossover, hatchback, microcar, minivan.	coupe, automotive, auto body styles, coupes, two-door cars, sport coupe, luxury coupe, coupe body style	commercial trucks, convertible, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
10	2	Automotive	Auto Body Styles	Crossover		Automotive > Auto Body Styles > Crossover	Content relating to Automotive > Auto Body Styles > Crossover: crossover SUVs, CUV, compact SUV, crossover vehicles, family crossover. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, hatchback, microcar, minivan.	crossover, automotive, auto body styles, crossover suvs, cuv, compact suv, crossover vehicles, family crossover	commercial trucks, convertible, coupe, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
11	2	Automotive	Auto Body Styles	Hatchback		Automotive > Auto Body Styles > Hatchback	Content relating to Automotive > Auto Body Styles > Hatchback: hatchbacks, five-door, liftback, compact cars, hatchback reviews. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, microcar, minivan.	hatchback, automotive, auto body styles, hatchbacks, five-door, liftback, compact cars, hatchback reviews	commercial trucks, convertible, coupe, crossover, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
12	2	Automotive	Auto Body Styles	Microcar		Automotive > Auto Body Styles > Microcar	Content relating to Automotive > Auto Body Styles > Microcar: microcars, city cars, small cars, mini vehicles, urban cars, kei cars. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, minivan.	microcar, automotive, auto body styles, microcars, city cars, small cars, mini vehicles, urban cars, kei cars	commercial trucks, convertible, coupe, crossover, hatchback, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
13	2	Automotive	Auto Body Styles	Minivan		Automotive > Auto Body Styles > Minivan	Content relating to Automotive > Auto Body Styles > Minivan: minivans, people movers, family van, sliding doors, passenger van, MPV. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	minivan, automotive, auto body styles, minivans, people movers, family van, sliding doors, passenger van, mpv	commercial trucks, convertible, coupe, crossover, hatchback, microcar, off-road vehicles, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
14	2	Automotive	Auto Body Styles	Off-Road Vehicles		Automotive > Auto Body Styles > Off-Road Vehicles	Content relating to Automotive > Auto Body Styles > Off-Road Vehicles: off-road, 4x4, Jeep, SUV off-road, all-terrain, mudding, rock crawling, overlanding. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	off-road vehicles, automotive, auto body styles, off-road, 4x4, jeep, suv off-road, all-terrain, mudding, rock crawling, overlanding	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, pickup trucks, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
15	2	Automotive	Auto Body Styles	Pickup Trucks		Automotive > Auto Body Styles > Pickup Trucks	Content relating to Automotive > Auto Body Styles > Pickup Trucks: pickup trucks, trucks, pickup, half-ton, heavy duty, towing, truck bed, work truck. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	pickup trucks, automotive, auto body styles, trucks, pickup, half-ton, heavy duty, towing, truck bed, work truck	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, sedan, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
4	2	Automotive	Auto Body Styles	Sedan		Automotive > Auto Body Styles > Sedan	Content relating to Automotive > Auto Body Styles > Sedan: sedans, four-door, saloon, passenger car, sedan reviews, midsize sedan. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	sedan, automotive, auto body styles, sedans, four-door, saloon, passenger car, sedan reviews, midsize sedan	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, station wagon, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
5	2	Automotive	Auto Body Styles	Station Wagon		Automotive > Auto Body Styles > Station Wagon	Content relating to Automotive > Auto Body Styles > Station Wagon: station wagons, wagons, estate cars, wagon, family wagon. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	station wagon, automotive, auto body styles, station wagons, wagons, estate cars, wagon, family wagon	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, suv, van, toy collecting, aviation industry finance, travel destination guides, video games
6	2	Automotive	Auto Body Styles	SUV		Automotive > Auto Body Styles > SUV	Content relating to Automotive > Auto Body Styles > SUV: SUVs, sport utility vehicles, sport utility, family SUV, crossover SUV. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	suv, automotive, auto body styles, suvs, sport utility vehicles, sport utility, family suv, crossover suv	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, van, toy collecting, aviation industry finance, travel destination guides, video games
7	2	Automotive	Auto Body Styles	Van		Automotive > Auto Body Styles > Van	Content relating to Automotive > Auto Body Styles > Van: vans, cargo van, passenger van, minivan, full-size van, commercial van. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about commercial trucks, convertible, coupe, crossover, hatchback, microcar.	van, automotive, auto body styles, vans, cargo van, passenger van, minivan, full-size van, commercial van	commercial trucks, convertible, coupe, crossover, hatchback, microcar, minivan, off-road vehicles, pickup trucks, sedan, station wagon, suv, toy collecting, aviation industry finance, travel destination guides, video games
30	1	Automotive	Auto Buying and Selling			Automotive > Auto Buying and Selling	Content relating to Automotive > Auto Buying and Selling: car buying, car selling, dealership, trade-in, used cars, new cars, car price, negotiation. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto insurance, auto parts, auto recalls, auto rentals, auto repair.	auto buying and selling, auto buying, selling, automotive, car buying, car selling, dealership, trade-in, used cars, new cars, car price, negotiation	auto body styles, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
31	1	Automotive	Auto Insurance			Automotive > Auto Insurance	Content relating to Automotive > Auto Insurance: car insurance, auto insurance, vehicle insurance, coverage, premiums, claims, liability. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto parts, auto recalls, auto rentals, auto repair.	auto insurance, automotive, car insurance, vehicle insurance, coverage, premiums, claims, liability	auto body styles, auto buying and selling, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
32	1	Automotive	Auto Parts			Automotive > Auto Parts	Content relating to Automotive > Auto Parts: auto parts, car parts, aftermarket, OEM parts, replacement parts, accessories, auto supply. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto recalls, auto rentals, auto repair.	auto parts, automotive, car parts, aftermarket, oem parts, replacement parts, accessories, auto supply	auto body styles, auto buying and selling, auto insurance, auto recalls, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
33	1	Automotive	Auto Recalls			Automotive > Auto Recalls	Content relating to Automotive > Auto Recalls: car recalls, vehicle recalls, safety recall, NHTSA, defect, recall notice. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto parts, auto rentals, auto repair.	auto recalls, automotive, car recalls, vehicle recalls, safety recall, nhtsa, defect, recall notice	auto body styles, auto buying and selling, auto insurance, auto parts, auto rentals, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
41	1	Automotive	Auto Rentals			Automotive > Auto Rentals	Content relating to Automotive > Auto Rentals: car rental, rent a car, rental cars, hire car, rental agency, short-term rental. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto repair.	auto rentals, automotive, car rental, rent a car, rental cars, hire car, rental agency, short-term rental	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto repair, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
34	1	Automotive	Auto Repair			Automotive > Auto Repair	Content relating to Automotive > Auto Repair: auto repair, car repair, mechanic, garage, service center, diagnostics, fix car. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto repair, automotive, car repair, mechanic, garage, service center, diagnostics, fix car	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto safety, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
35	1	Automotive	Auto Safety			Automotive > Auto Safety	Content relating to Automotive > Auto Safety: car safety, vehicle safety, crash test, safety ratings, airbags, seat belts, child safety. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto safety, automotive, car safety, vehicle safety, crash test, safety ratings, airbags, seat belts, child safety	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto shows, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
36	1	Automotive	Auto Shows			Automotive > Auto Shows	Content relating to Automotive > Auto Shows: auto shows, car shows, motor show, new car launch, concept cars, auto exhibition. Use for content about vehicles, ownership, buying, maintenance, repairs, driving, transport hardware, and auto enthusiast topics rather than general travel or business news. Relevant pages may include model reviews, parts information, maintenance advice, ownership costs, dealer or aftermarket content, and enthusiast discussions. Avoid classifying content here when it is primarily about auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals.	auto shows, automotive, car shows, motor show, new car launch, concept cars, auto exhibition	auto body styles, auto buying and selling, auto insurance, auto parts, auto recalls, auto rentals, auto repair, auto safety, auto technology, auto type, car culture, dash cam videos, toy collecting, aviation industry finance, travel destination guides, video games
